timestamp,service,total,2xx,4xx,5xx,resets,rq_time_sum_ms,rq_time_count,rq_time_buckets
2026-09-24T15:45:19Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T15:45:19Z,shippingservice,238183,237072,0,0,1116,229982,237072,"{""0.5"":81825,""1"":81825,""5"":233334,""10"":236856,""25"":237045,""50"":237046,""100"":237071,""250"":237072,""500"":237072,""1000"":237072,""2500"":237072,""5000"":237072,""10000"":237072,""30000"":237072,""60000"":237072,""300000"":237072,""600000"":237072,""1800000"":237072,""3600000"":237072,""+Inf"":237072}"
2026-09-24T15:45:20Z,adservice,187007,187005,0,0,3,247067,187004,"{""0.5"":9428,""1"":9428,""5"":184202,""10"":186861,""25"":186963,""50"":186981,""100"":187004,""250"":187004,""500"":187004,""1000"":187004,""2500"":187004,""5000"":187004,""10000"":187004,""30000"":187004,""60000"":187004,""300000"":187004,""600000"":187004,""1800000"":187004,""3600000"":187004,""+Inf"":187004}"
2026-09-24T15:45:20Z,cartservice,545994,545186,0,0,810,1337707,545186,"{""0.5"":10,""1"":10,""5"":499081,""10"":541825,""25"":545126,""50"":545133,""100"":545180,""250"":545180,""500"":545186,""1000"":545186,""2500"":545186,""5000"":545186,""10000"":545186,""30000"":545186,""60000"":545186,""300000"":545186,""600000"":545186,""1800000"":545186,""3600000"":545186,""+Inf"":545186}"
2026-09-24T15:45:20Z,checkoutservice,57091,40148,0,0,16943,9248974,40148,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":8336,""100"":16058,""250"":25443,""500"":28701,""1000"":40148,""2500"":40148,""5000"":40148,""10000"":40148,""30000"":40148,""60000"":40148,""300000"":40148,""600000"":40148,""1800000"":40148,""3600000"":40148,""+Inf"":40148}"
2026-09-24T15:45:20Z,currencyservice,926344,926332,0,0,12,3074773,926332,"{""0.5"":31111,""1"":31111,""5"":744804,""10"":881434,""25"":920768,""50"":925328,""100"":926302,""250"":926332,""500"":926332,""1000"":926332,""2500"":926332,""5000"":926332,""10000"":926332,""30000"":926332,""60000"":926332,""300000"":926332,""600000"":926332,""1800000"":926332,""3600000"":926332,""+Inf"":926332}"
2026-09-24T15:45:20Z,emailservice,29823,29554,0,0,269,200660,29554,"{""0.5"":2,""1"":2,""5"":24577,""10"":27705,""25"":28148,""50"":28314,""100"":29374,""250"":29552,""500"":29554,""1000"":29554,""2500"":29554,""5000"":29554,""10000"":29554,""30000"":29554,""60000"":29554,""300000"":29554,""600000"":29554,""1800000"":29554,""3600000"":29554,""+Inf"":29554}"
2026-09-24T15:45:20Z,frontend,509526,364652,0,143966,908,493443273,508618,"{""0.5"":0,""1"":0,""5"":1416,""10"":5298,""25"":8015,""50"":13314,""100"":21543,""250"":27563,""500"":46386,""1000"":322457,""2500"":503498,""5000"":508618,""10000"":508618,""30000"":508618,""60000"":508618,""300000"":508618,""600000"":508618,""1800000"":508618,""3600000"":508618,""+Inf"":508618}"
2026-09-24T15:45:20Z,paymentservice,53492,52191,0,0,1655,338326,51837,"{""0.5"":11,""1"":11,""5"":39162,""10"":47551,""25"":50182,""50"":50290,""100"":51488,""250"":51761,""500"":51837,""1000"":51837,""2500"":51837,""5000"":51837,""10000"":51837,""30000"":51837,""60000"":51837,""300000"":51837,""600000"":51837,""1800000"":51837,""3600000"":51837,""+Inf"":51837}"
2026-09-24T15:45:20Z,productcatalogservice,2658717,2658686,0,0,31,6620710,2658686,"{""0.5"":487524,""1"":487524,""5"":2209530,""10"":2625817,""25"":2658648,""50"":2658686,""100"":2658686,""250"":2658686,""500"":2658686,""1000"":2658686,""2500"":2658686,""5000"":2658686,""10000"":2658686,""30000"":2658686,""60000"":2658686,""300000"":2658686,""600000"":2658686,""1800000"":2658686,""3600000"":2658686,""+Inf"":2658686}"
2026-09-24T15:45:20Z,recommendationservice,845281,657343,0,0,187938,339621235,657343,"{""0.5"":0,""1"":0,""5"":1907,""10"":6733,""25"":12578,""50"":16128,""100"":18549,""250"":20201,""500"":217928,""1000"":657343,""2500"":657343,""5000"":657343,""10000"":657343,""30000"":657343,""60000"":657343,""300000"":657343,""600000"":657343,""1800000"":657343,""3600000"":657343,""+Inf"":657343}"
2026-09-24T15:45:20Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T15:45:20Z,shippingservice,238183,237072,0,0,1116,229982,237072,"{""0.5"":81825,""1"":81825,""5"":233334,""10"":236856,""25"":237045,""50"":237046,""100"":237071,""250"":237072,""500"":237072,""1000"":237072,""2500"":237072,""5000"":237072,""10000"":237072,""30000"":237072,""60000"":237072,""300000"":237072,""600000"":237072,""1800000"":237072,""3600000"":237072,""+Inf"":237072}"
2026-09-24T15:45:22Z,adservice,187007,187005,0,0,3,247067,187004,"{""0.5"":9428,""1"":9428,""5"":184202,""10"":186861,""25"":186963,""50"":186981,""100"":187004,""250"":187004,""500"":187004,""1000"":187004,""2500"":187004,""5000"":187004,""10000"":187004,""30000"":187004,""60000"":187004,""300000"":187004,""600000"":187004,""1800000"":187004,""3600000"":187004,""+Inf"":187004}"
2026-09-24T15:45:22Z,cartservice,545994,545186,0,0,810,1337707,545186,"{""0.5"":10,""1"":10,""5"":499081,""10"":541825,""25"":545126,""50"":545133,""100"":545180,""250"":545180,""500"":545186,""1000"":545186,""2500"":545186,""5000"":545186,""10000"":545186,""30000"":545186,""60000"":545186,""300000"":545186,""600000"":545186,""1800000"":545186,""3600000"":545186,""+Inf"":545186}"
2026-09-24T15:45:22Z,checkoutservice,57091,40148,0,0,16943,9248974,40148,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":8336,""100"":16058,""250"":25443,""500"":28701,""1000"":40148,""2500"":40148,""5000"":40148,""10000"":40148,""30000"":40148,""60000"":40148,""300000"":40148,""600000"":40148,""1800000"":40148,""3600000"":40148,""+Inf"":40148}"
2026-09-24T15:45:22Z,currencyservice,926344,926332,0,0,12,3074773,926332,"{""0.5"":31111,""1"":31111,""5"":744804,""10"":881434,""25"":920768,""50"":925328,""100"":926302,""250"":926332,""500"":926332,""1000"":926332,""2500"":926332,""5000"":926332,""10000"":926332,""30000"":926332,""60000"":926332,""300000"":926332,""600000"":926332,""1800000"":926332,""3600000"":926332,""+Inf"":926332}"
2026-09-24T15:45:22Z,emailservice,29823,29554,0,0,269,200660,29554,"{""0.5"":2,""1"":2,""5"":24577,""10"":27705,""25"":28148,""50"":28314,""100"":29374,""250"":29552,""500"":29554,""1000"":29554,""2500"":29554,""5000"":29554,""10000"":29554,""30000"":29554,""60000"":29554,""300000"":29554,""600000"":29554,""1800000"":29554,""3600000"":29554,""+Inf"":29554}"
2026-09-24T15:45:22Z,frontend,509526,364652,0,143966,908,493443273,508618,"{""0.5"":0,""1"":0,""5"":1416,""10"":5298,""25"":8015,""50"":13314,""100"":21543,""250"":27563,""500"":46386,""1000"":322457,""2500"":503498,""5000"":508618,""10000"":508618,""30000"":508618,""60000"":508618,""300000"":508618,""600000"":508618,""1800000"":508618,""3600000"":508618,""+Inf"":508618}"
2026-09-24T15:45:22Z,paymentservice,53492,52191,0,0,1655,338326,51837,"{""0.5"":11,""1"":11,""5"":39162,""10"":47551,""25"":50182,""50"":50290,""100"":51488,""250"":51761,""500"":51837,""1000"":51837,""2500"":51837,""5000"":51837,""10000"":51837,""30000"":51837,""60000"":51837,""300000"":51837,""600000"":51837,""1800000"":51837,""3600000"":51837,""+Inf"":51837}"
2026-09-24T15:45:22Z,productcatalogservice,2658717,2658686,0,0,31,6620710,2658686,"{""0.5"":487524,""1"":487524,""5"":2209530,""10"":2625817,""25"":2658648,""50"":2658686,""100"":2658686,""250"":2658686,""500"":2658686,""1000"":2658686,""2500"":2658686,""5000"":2658686,""10000"":2658686,""30000"":2658686,""60000"":2658686,""300000"":2658686,""600000"":2658686,""1800000"":2658686,""3600000"":2658686,""+Inf"":2658686}"
2026-09-24T15:45:22Z,recommendationservice,845281,657343,0,0,187938,339621235,657343,"{""0.5"":0,""1"":0,""5"":1907,""10"":6733,""25"":12578,""50"":16128,""100"":18549,""250"":20201,""500"":217928,""1000"":657343,""2500"":657343,""5000"":657343,""10000"":657343,""30000"":657343,""60000"":657343,""300000"":657343,""600000"":657343,""1800000"":657343,""3600000"":657343,""+Inf"":657343}"
2026-09-24T15:45:22Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T15:45:22Z,shippingservice,238183,237072,0,0,1116,229982,237072,"{""0.5"":81825,""1"":81825,""5"":233334,""10"":236856,""25"":237045,""50"":237046,""100"":237071,""250"":237072,""500"":237072,""1000"":237072,""2500"":237072,""5000"":237072,""10000"":237072,""30000"":237072,""60000"":237072,""300000"":237072,""600000"":237072,""1800000"":237072,""3600000"":237072,""+Inf"":237072}"
2026-09-24T15:45:24Z,adservice,187007,187005,0,0,3,247067,187004,"{""0.5"":9428,""1"":9428,""5"":184202,""10"":186861,""25"":186963,""50"":186981,""100"":187004,""250"":187004,""500"":187004,""1000"":187004,""2500"":187004,""5000"":187004,""10000"":187004,""30000"":187004,""60000"":187004,""300000"":187004,""600000"":187004,""1800000"":187004,""3600000"":187004,""+Inf"":187004}"
2026-09-24T15:45:24Z,cartservice,545994,545186,0,0,810,1337707,545186,"{""0.5"":10,""1"":10,""5"":499081,""10"":541825,""25"":545126,""50"":545133,""100"":545180,""250"":545180,""500"":545186,""1000"":545186,""2500"":545186,""5000"":545186,""10000"":545186,""30000"":545186,""60000"":545186,""300000"":545186,""600000"":545186,""1800000"":545186,""3600000"":545186,""+Inf"":545186}"
2026-09-24T15:45:24Z,checkoutservice,57091,40148,0,0,16943,9248974,40148,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":8336,""100"":16058,""250"":25443,""500"":28701,""1000"":40148,""2500"":40148,""5000"":40148,""10000"":40148,""30000"":40148,""60000"":40148,""300000"":40148,""600000"":40148,""1800000"":40148,""3600000"":40148,""+Inf"":40148}"
2026-09-24T15:45:24Z,currencyservice,926344,926332,0,0,12,3074773,926332,"{""0.5"":31111,""1"":31111,""5"":744804,""10"":881434,""25"":920768,""50"":925328,""100"":926302,""250"":926332,""500"":926332,""1000"":926332,""2500"":926332,""5000"":926332,""10000"":926332,""30000"":926332,""60000"":926332,""300000"":926332,""600000"":926332,""1800000"":926332,""3600000"":926332,""+Inf"":926332}"
2026-09-24T15:45:24Z,emailservice,29823,29554,0,0,269,200660,29554,"{""0.5"":2,""1"":2,""5"":24577,""10"":27705,""25"":28148,""50"":28314,""100"":29374,""250"":29552,""500"":29554,""1000"":29554,""2500"":29554,""5000"":29554,""10000"":29554,""30000"":29554,""60000"":29554,""300000"":29554,""600000"":29554,""1800000"":29554,""3600000"":29554,""+Inf"":29554}"
2026-09-24T15:45:24Z,frontend,509526,364652,0,143966,908,493443273,508618,"{""0.5"":0,""1"":0,""5"":1416,""10"":5298,""25"":8015,""50"":13314,""100"":21543,""250"":27563,""500"":46386,""1000"":322457,""2500"":503498,""5000"":508618,""10000"":508618,""30000"":508618,""60000"":508618,""300000"":508618,""600000"":508618,""1800000"":508618,""3600000"":508618,""+Inf"":508618}"
2026-09-24T15:45:24Z,paymentservice,53492,52191,0,0,1655,338326,51837,"{""0.5"":11,""1"":11,""5"":39162,""10"":47551,""25"":50182,""50"":50290,""100"":51488,""250"":51761,""500"":51837,""1000"":51837,""2500"":51837,""5000"":51837,""10000"":51837,""30000"":51837,""60000"":51837,""300000"":51837,""600000"":51837,""1800000"":51837,""3600000"":51837,""+Inf"":51837}"
2026-09-24T15:45:24Z,productcatalogservice,2658717,2658686,0,0,31,6620710,2658686,"{""0.5"":487524,""1"":487524,""5"":2209530,""10"":2625817,""25"":2658648,""50"":2658686,""100"":2658686,""250"":2658686,""500"":2658686,""1000"":2658686,""2500"":2658686,""5000"":2658686,""10000"":2658686,""30000"":2658686,""60000"":2658686,""300000"":2658686,""600000"":2658686,""1800000"":2658686,""3600000"":2658686,""+Inf"":2658686}"
2026-09-24T15:45:24Z,recommendationservice,845281,657343,0,0,187938,339621235,657343,"{""0.5"":0,""1"":0,""5"":1907,""10"":6733,""25"":12578,""50"":16128,""100"":18549,""250"":20201,""500"":217928,""1000"":657343,""2500"":657343,""5000"":657343,""10000"":657343,""30000"":657343,""60000"":657343,""300000"":657343,""600000"":657343,""1800000"":657343,""3600000"":657343,""+Inf"":657343}"
2026-09-24T15:45:24Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T15:45:24Z,shippingservice,238183,237072,0,0,1116,229982,237072,"{""0.5"":81825,""1"":81825,""5"":233334,""10"":236856,""25"":237045,""50"":237046,""100"":237071,""250"":237072,""500"":237072,""1000"":237072,""2500"":237072,""5000"":237072,""10000"":237072,""30000"":237072,""60000"":237072,""300000"":237072,""600000"":237072,""1800000"":237072,""3600000"":237072,""+Inf"":237072}"
2026-09-24T15:45:26Z,adservice,187007,187005,0,0,3,247067,187004,"{""0.5"":9428,""1"":9428,""5"":184202,""10"":186861,""25"":186963,""50"":186981,""100"":187004,""250"":187004,""500"":187004,""1000"":187004,""2500"":187004,""5000"":187004,""10000"":187004,""30000"":187004,""60000"":187004,""300000"":187004,""600000"":187004,""1800000"":187004,""3600000"":187004,""+Inf"":187004}"
2026-09-24T15:45:26Z,cartservice,545994,545186,0,0,810,1337707,545186,"{""0.5"":10,""1"":10,""5"":499081,""10"":541825,""25"":545126,""50"":545133,""100"":545180,""250"":545180,""500"":545186,""1000"":545186,""2500"":545186,""5000"":545186,""10000"":545186,""30000"":545186,""60000"":545186,""300000"":545186,""600000"":545186,""1800000"":545186,""3600000"":545186,""+Inf"":545186}"
2026-09-24T15:45:26Z,checkoutservice,57091,40148,0,0,16943,9248974,40148,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":8336,""100"":16058,""250"":25443,""500"":28701,""1000"":40148,""2500"":40148,""5000"":40148,""10000"":40148,""30000"":40148,""60000"":40148,""300000"":40148,""600000"":40148,""1800000"":40148,""3600000"":40148,""+Inf"":40148}"
2026-09-24T15:45:26Z,currencyservice,926344,926332,0,0,12,3074773,926332,"{""0.5"":31111,""1"":31111,""5"":744804,""10"":881434,""25"":920768,""50"":925328,""100"":926302,""250"":926332,""500"":926332,""1000"":926332,""2500"":926332,""5000"":926332,""10000"":926332,""30000"":926332,""60000"":926332,""300000"":926332,""600000"":926332,""1800000"":926332,""3600000"":926332,""+Inf"":926332}"
2026-09-24T15:45:26Z,emailservice,29823,29554,0,0,269,200660,29554,"{""0.5"":2,""1"":2,""5"":24577,""10"":27705,""25"":28148,""50"":28314,""100"":29374,""250"":29552,""500"":29554,""1000"":29554,""2500"":29554,""5000"":29554,""10000"":29554,""30000"":29554,""60000"":29554,""300000"":29554,""600000"":29554,""1800000"":29554,""3600000"":29554,""+Inf"":29554}"
2026-09-24T15:45:26Z,frontend,509526,364652,0,143966,908,493443273,508618,"{""0.5"":0,""1"":0,""5"":1416,""10"":5298,""25"":8015,""50"":13314,""100"":21543,""250"":27563,""500"":46386,""1000"":322457,""2500"":503498,""5000"":508618,""10000"":508618,""30000"":508618,""60000"":508618,""300000"":508618,""600000"":508618,""1800000"":508618,""3600000"":508618,""+Inf"":508618}"
2026-09-24T15:45:26Z,paymentservice,53492,52191,0,0,1655,338326,51837,"{""0.5"":11,""1"":11,""5"":39162,""10"":47551,""25"":50182,""50"":50290,""100"":51488,""250"":51761,""500"":51837,""1000"":51837,""2500"":51837,""5000"":51837,""10000"":51837,""30000"":51837,""60000"":51837,""300000"":51837,""600000"":51837,""1800000"":51837,""3600000"":51837,""+Inf"":51837}"
2026-09-24T15:45:26Z,productcatalogservice,2658717,2658686,0,0,31,6620710,2658686,"{""0.5"":487524,""1"":487524,""5"":2209530,""10"":2625817,""25"":2658648,""50"":2658686,""100"":2658686,""250"":2658686,""500"":2658686,""1000"":2658686,""2500"":2658686,""5000"":2658686,""10000"":2658686,""30000"":2658686,""60000"":2658686,""300000"":2658686,""600000"":2658686,""1800000"":2658686,""3600000"":2658686,""+Inf"":2658686}"
2026-09-24T15:45:26Z,recommendationservice,845281,657343,0,0,187938,339621235,657343,"{""0.5"":0,""1"":0,""5"":1907,""10"":6733,""25"":12578,""50"":16128,""100"":18549,""250"":20201,""500"":217928,""1000"":657343,""2500"":657343,""5000"":657343,""10000"":657343,""30000"":657343,""60000"":657343,""300000"":657343,""600000"":657343,""1800000"":657343,""3600000"":657343,""+Inf"":657343}"
2026-09-24T15:45:26Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T15:45:26Z,shippingservice,238183,237072,0,0,1116,229982,237072,"{""0.5"":81825,""1"":81825,""5"":233334,""10"":236856,""25"":237045,""50"":237046,""100"":237071,""250"":237072,""500"":237072,""1000"":237072,""2500"":237072,""5000"":237072,""10000"":237072,""30000"":237072,""60000"":237072,""300000"":237072,""600000"":237072,""1800000"":237072,""3600000"":237072,""+Inf"":237072}"
2026-09-24T15:45:28Z,adservice,187007,187005,0,0,3,247067,187004,"{""0.5"":9428,""1"":9428,""5"":184202,""10"":186861,""25"":186963,""50"":186981,""100"":187004,""250"":187004,""500"":187004,""1000"":187004,""2500"":187004,""5000"":187004,""10000"":187004,""30000"":187004,""60000"":187004,""300000"":187004,""600000"":187004,""1800000"":187004,""3600000"":187004,""+Inf"":187004}"
2026-09-24T15:45:28Z,cartservice,545994,545186,0,0,810,1337707,545186,"{""0.5"":10,""1"":10,""5"":499081,""10"":541825,""25"":545126,""50"":545133,""100"":545180,""250"":545180,""500"":545186,""1000"":545186,""2500"":545186,""5000"":545186,""10000"":545186,""30000"":545186,""60000"":545186,""300000"":545186,""600000"":545186,""1800000"":545186,""3600000"":545186,""+Inf"":545186}"
2026-09-24T15:45:28Z,checkoutservice,57091,40148,0,0,16943,9248974,40148,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":8336,""100"":16058,""250"":25443,""500"":28701,""1000"":40148,""2500"":40148,""5000"":40148,""10000"":40148,""30000"":40148,""60000"":40148,""300000"":40148,""600000"":40148,""1800000"":40148,""3600000"":40148,""+Inf"":40148}"
2026-09-24T15:45:28Z,currencyservice,926344,926332,0,0,12,3074773,926332,"{""0.5"":31111,""1"":31111,""5"":744804,""10"":881434,""25"":920768,""50"":925328,""100"":926302,""250"":926332,""500"":926332,""1000"":926332,""2500"":926332,""5000"":926332,""10000"":926332,""30000"":926332,""60000"":926332,""300000"":926332,""600000"":926332,""1800000"":926332,""3600000"":926332,""+Inf"":926332}"
2026-09-24T15:45:28Z,emailservice,29823,29554,0,0,269,200660,29554,"{""0.5"":2,""1"":2,""5"":24577,""10"":27705,""25"":28148,""50"":28314,""100"":29374,""250"":29552,""500"":29554,""1000"":29554,""2500"":29554,""5000"":29554,""10000"":29554,""30000"":29554,""60000"":29554,""300000"":29554,""600000"":29554,""1800000"":29554,""3600000"":29554,""+Inf"":29554}"
2026-09-24T15:45:28Z,frontend,509526,364652,0,143966,908,493443273,508618,"{""0.5"":0,""1"":0,""5"":1416,""10"":5298,""25"":8015,""50"":13314,""100"":21543,""250"":27563,""500"":46386,""1000"":322457,""2500"":503498,""5000"":508618,""10000"":508618,""30000"":508618,""60000"":508618,""300000"":508618,""600000"":508618,""1800000"":508618,""3600000"":508618,""+Inf"":508618}"
2026-09-24T15:45:28Z,paymentservice,53492,52191,0,0,1655,338326,51837,"{""0.5"":11,""1"":11,""5"":39162,""10"":47551,""25"":50182,""50"":50290,""100"":51488,""250"":51761,""500"":51837,""1000"":51837,""2500"":51837,""5000"":51837,""10000"":51837,""30000"":51837,""60000"":51837,""300000"":51837,""600000"":51837,""1800000"":51837,""3600000"":51837,""+Inf"":51837}"
2026-09-24T15:45:28Z,productcatalogservice,2658717,2658686,0,0,31,6620710,2658686,"{""0.5"":487524,""1"":487524,""5"":2209530,""10"":2625817,""25"":2658648,""50"":2658686,""100"":2658686,""250"":2658686,""500"":2658686,""1000"":2658686,""2500"":2658686,""5000"":2658686,""10000"":2658686,""30000"":2658686,""60000"":2658686,""300000"":2658686,""600000"":2658686,""1800000"":2658686,""3600000"":2658686,""+Inf"":2658686}"
